name,datetime,Month,Day ,Year,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,conditions,conditions contd
Toronto,1/01/00,1,1,2000,7.1,1,3.3,3.9,-4,-0.4,Rain, Partially cloudy
Toronto,1/02/00,1,2,2000,9.2,0.4,4.6,5.7,-1.5,1.4,Rain, Partially cloudy
Toronto,1/03/00,1,3,2000,11,-0.5,2.4,11,-6.9,-2.9,Rain, Partially cloudy
Toronto,1/04/00,1,4,2000,9.1,-2.9,2.7,4.1,-9.6,-3,Rain, Partially cloudy
Toronto,1/05/00,1,5,2000,-2,-7,-4.4,-5.2,-12.9,-9.6,Partially cloudy,
Toronto,1/06/00,1,6,2000,3,-2,1.4,-1.9,-6.7,-4.3,Partially cloudy,
Toronto,1/07/00,1,7,2000,3,-3,0.1,-0.9,-10,-6,Partially cloudy,
Toronto,1/08/00,1,8,2000,4.1,-3,1.1,-1.3,-10.1,-5.2,Clear,
Toronto,1/09/00,1,9,2000,4.2,2,3.4,3,-1.3,0.7,Rain, Overcast
Toronto,1/10/00,1,10,2000,6.1,2.7,4.6,2.2,-1.9,0.2,Rain, Partially cloudy
Toronto,1/11/00,1,11,2000,6.1,2,3.9,1.6,-4.4,-1.7,Partially cloudy,
Toronto,1/12/00,1,12,2000,2,-2,-0.2,-3.2,-7,-5.6,Partially cloudy,
Toronto,1/13/00,1,13,2000,-3.5,-13,-8.4,-8.6,-21.7,-16.4,Partially cloudy,
Toronto,1/14/00,1,14,2000,-8,-14,-10.9,-13.2,-21.2,-16.9,Partially cloudy,
Toronto,1/15/00,1,15,2000,2,-7,-2.4,-3.4,-11.3,-7.1,Snow, Partially cloudy
Toronto,1/16/00,1,16,2000,3,-16,-3.3,-2.8,-26.9,-11.2,Partially cloudy,
Toronto,1/17/00,1,17,2000,-13,-20.9,-16.6,-19.3,-32.8,-25.6,Clear,
Toronto,1/18/00,1,18,2000,-7.9,-14.5,-11.1,-8.9,-21.6,-16.8,Snow, Partially cloudy
Toronto,1/19/00,1,19,2000,-1,-11.9,-5.9,-1.9,-16.7,-9.6,Snow, Partially cloudy
Toronto,1/20/00,1,20,2000,-4,-15.9,-7.6,-6.3,-26.2,-14.3,Partially cloudy,
Toronto,1/21/00,1,21,2000,-14,-20.2,-17,-21,-30,-25.3,Clear,
Toronto,1/22/00,1,22,2000,-10,-18.2,-14.4,-11,-26.5,-19.3,Partially cloudy,
Toronto,1/23/00,1,23,2000,0,-9,-3.7,-6.9,-14.4,-10.2,Snow, Partially cloudy
Toronto,1/24/00,1,24,2000,-4,-10,-7.4,-10.1,-18.8,-14.6,Clear,
Toronto,1/25/00,1,25,2000,-5,-11,-7.8,-9.1,-16.3,-13.1,Partially cloudy,
Toronto,1/26/00,1,26,2000,-5,-15,-10,-12.2,-25.2,-19.7,Partially cloudy,
Toronto,1/27/00,1,27,2000,-11,-18.9,-14.6,-19.7,-30,-24.5,Clear,
Toronto,1/28/00,1,28,2000,-5,-17.4,-11.2,-8,-26.2,-18,Snow,
Toronto,1/29/00,1,29,2000,-0.6,-10,-4.9,-1.9,-13.9,-7.5,Clear,
Toronto,1/30/00,1,30,2000,0,-3.3,-0.9,0,-9.7,-4.2,Partially cloudy,
Toronto,1/31/00,1,31,2000,0,-2.1,-1,-1.8,-10.2,-7.3,Partially cloudy,
Toronto,2/01/00,2,1,2000,-1,-6,-3.8,-6.3,-14.4,-11.3,Partially cloudy,
Toronto,2/02/00,2,2,2000,-4.7,-12.2,-7.7,-11.2,-18.6,-14.6,Partially cloudy,
Toronto,2/03/00,2,3,2000,-1,-4,-2.1,-4.8,-11.2,-8.1,Partially cloudy,
Toronto,2/04/00,2,4,2000,-3,-8,-5.8,-8.1,-14.2,-11.8,Partially cloudy,
Toronto,2/05/00,2,5,2000,0,-9.1,-4.1,-6.6,-17,-11.3,Partially cloudy,
Toronto,2/06/00,2,6,2000,0,-8.9,-4,-6.7,-15.4,-11,Clear,
Toronto,2/07/00,2,7,2000,1,-9,-3.2,-4.9,-14.6,-10.2,Partially cloudy,
Toronto,2/08/00,2,8,2000,-2,-10.5,-5.7,-8.6,-14.7,-10.7,Clear,
Toronto,2/09/00,2,9,2000,5,-2.8,1.8,0.9,-10.4,-3.6,Partially cloudy,
Toronto,2/10/00,2,10,2000,0,-6,-3.5,-4.9,-13.8,-9.8,Partially cloudy,
Toronto,2/11/00,2,11,2000,-4.9,-8,-6.1,-10.1,-15.7,-12.8,Partially cloudy,
Toronto,2/12/00,2,12,2000,-4.1,-12.6,-7.7,-7.5,-18,-12,Clear,
Toronto,2/13/00,2,13,2000,-0.2,-5.1,-3.1,-0.2,-10.7,-7.7,Partially cloudy,
Toronto,2/14/00,2,14,2000,-2.9,-5,-4,-7.6,-12.4,-10.2,Partially cloudy,
Toronto,2/15/00,2,15,2000,0,-8,-3.2,-4,-13.3,-9.1,Snow, Partially cloudy
Toronto,2/16/00,2,16,2000,2,-6,-1.2,0.1,-12.5,-6,Snow, Partially cloudy
Toronto,2/17/00,2,17,2000,-4,-10,-6.7,-7.2,-17.8,-11.6,Partially cloudy,
Toronto,2/18/00,2,18,2000,-2,-5.2,-3.4,-8.4,-11.6,-10.4,Snow, Partially cloudy
Toronto,2/19/00,2,19,2000,0,-7.2,-3.7,0,-13.7,-8.8,Partially cloudy,
Toronto,2/20/00,2,20,2000,1,-4.5,-1.1,-4.3,-11.1,-7.7,Partially cloudy,
Toronto,2/21/00,2,21,2000,2.1,-3,0.3,-0.7,-8.8,-4.7,Partially cloudy,
Toronto,2/22/00,2,22,2000,6.2,0.1,4,6.1,-2.4,2,Partially cloudy,
Toronto,2/23/00,2,23,2000,7.2,3.1,4.7,5.8,0.8,2.8,Rain, Partially cloudy
Toronto,2/24/00,2,24,2000,8,3.1,4.8,5.3,-1.1,1.8,Rain, Partially cloudy
Toronto,2/25/00,2,25,2000,6,1.1,3.9,5,-3.7,0.8,Rain, Overcast
Toronto,2/26/00,2,26,2000,7.1,1.8,4.6,4.9,-4.1,0.3,Rain, Partially cloudy
Toronto,2/27/00,2,27,2000,10,4.2,6.9,10,0.3,3.6,Partially cloudy,
Toronto,2/28/00,2,28,2000,5,-1,3.1,1.3,-4.8,-1.5,Partially cloudy,
Toronto,2/29/00,2,29,2000,3.1,-3,0.6,1,-4.8,-2,Clear,
Toronto,3/01/00,3,1,2000,11.7,1.8,4.8,11.7,-4.3,0.6,Rain, Partially cloudy
Toronto,3/02/00,3,2,2000,3,0,1.3,-2.8,-6.4,-5.1,Overcast,
Toronto,3/03/00,3,3,2000,6,-2,1.3,2.7,-8.1,-3,Partially cloudy,
Toronto,3/04/00,3,4,2000,9,-1,3.5,5.9,-2.9,1.1,Clear,
Toronto,3/05/00,3,5,2000,7,2.5,4.6,3.5,-1,1.6,Partially cloudy,
Toronto,3/06/00,3,6,2000,7,0.6,3.6,6.2,-2.4,1.5,Clear,
Toronto,3/07/00,3,7,2000,7.2,0.1,4.1,4.6,-1.6,2,Clear,
Toronto,3/08/00,3,8,2000,14.5,2.1,7.7,14.5,0.6,7.1,Rain,
Toronto,3/09/00,3,9,2000,13,-2,7.5,13,-8.3,5.8,Partially cloudy,
Toronto,3/10/00,3,10,2000,-2,-5,-3.9,-7.2,-12.5,-9.7,Snow, Overcast
Toronto,3/11/00,3,11,2000,0.1,-3.2,-1.2,-3.8,-8.6,-6.1,Partially cloudy,
Toronto,3/12/00,3,12,2000,3,-2.6,0.3,-2.4,-9.2,-4.7,Rain, Partially cloudy
Toronto,3/13/00,3,13,2000,2.1,-2.9,-0.1,-1.5,-7.1,-4,Partially cloudy,
Toronto,3/14/00,3,14,2000,8.7,0.5,4.3,5.3,-2.8,0.4,Rain, Partially cloudy
Toronto,3/15/00,3,15,2000,7.2,2.1,4.9,6.1,1.4,3.2,Rain, Partially cloudy
Toronto,3/16/00,3,16,2000,9.8,-0.4,2.1,7.5,-6.5,-2.5,Rain, Partially cloudy
Toronto,3/17/00,3,17,2000,0,-5.4,-2.2,-4,-13.4,-8.4,Clear,
Toronto,3/18/00,3,18,2000,2,-4,-1.2,-3.4,-9.6,-7.2,Snow,
Toronto,3/19/00,3,19,2000,4.4,0.8,2.6,1.9,-4.2,-2,Partially cloudy,
Toronto,3/20/00,3,20,2000,7.2,4.1,5.7,2.7,0.1,1.4,Rain, Partially cloudy
Toronto,3/21/00,3,21,2000,7.2,4,6,4.1,-0.1,2.2,Partially cloudy,
Toronto,3/22/00,3,22,2000,9.1,5.2,7,8.6,2.7,5.6,Partially cloudy,
Toronto,3/23/00,3,23,2000,11.2,4,7.1,11.2,2.7,6.3,Partially cloudy,
Toronto,3/24/00,3,24,2000,10.1,4,7.7,10.1,2.3,5.8,Clear,
Toronto,3/25/00,3,25,2000,19,4.9,10.6,19,3.3,9.6,Rain, Partially cloudy
Toronto,3/26/00,3,26,2000,12,4.1,7.7,12,0.5,4.8,Partially cloudy,
Toronto,3/27/00,3,27,2000,6.7,3.1,4.9,4.5,-0.2,2.1,Rain, Partially cloudy
Toronto,3/28/00,3,28,2000,11,2,6.1,11,-1.5,3.8,Rain, Partially cloudy
Toronto,3/29/00,3,29,2000,7,2.4,4.5,2.1,-4.2,-0.8,Partially cloudy,
Toronto,3/30/00,3,30,2000,10,2,5.6,7.3,-2.6,1.8,Partially cloudy,
Toronto,3/31/00,3,31,2000,10.1,2,5.9,10.1,-1.9,3.7,Clear,
Toronto,4/01/00,4,1,2000,10.3,3.1,6.8,10.3,-0.1,5,Clear,
Toronto,4/02/00,4,2,2000,11,6.1,7.9,11,4.2,7.2,Rain, Partially cloudy
Toronto,4/03/00,4,3,2000,8.1,4.9,6.3,6.9,0.4,2.7,Rain, Overcast
Toronto,4/04/00,4,4,2000,10,1,5.7,10,-6.3,2.1,Rain, Partially cloudy
Toronto,4/05/00,4,5,2000,5,-1,1.9,1,-8.2,-3.5,Rain, Partially cloudy
Toronto,4/06/00,4,6,2000,11,3,6.9,11,-1.2,4.2,Rain, Partially cloudy
Toronto,4/07/00,4,7,2000,7,3,5.1,6,-2.9,2,Rain, Partially cloudy
Toronto,4/08/00,4,8,2000,4,-1,1.7,0.8,-7.5,-3.9,Rain, Partially cloudy
Toronto,4/09/00,4,9,2000,7,-3,1.7,2.3,-9,-3.6,Rain,
Toronto,4/10/00,4,10,2000,3,0,1.4,-1.9,-5.9,-4.2,Partially cloudy,
Toronto,4/11/00,4,11,2000,2,-1.2,0.2,-1,-6.9,-4.1,Rain, Partially cloudy
Toronto,4/12/00,4,12,2000,7,-2,2.1,3.3,-6,-1.4,Partially cloudy,
Toronto,4/13/00,4,13,2000,6.1,0,3.2,2.9,-1.9,0.7,Rain,
Toronto,4/14/00,4,14,2000,12.3,3,7.4,12.3,-1.4,6,Partially cloudy,
Toronto,4/15/00,4,15,2000,17,6.9,11.2,17,6.2,11,Partially cloudy,
Toronto,4/16/00,4,16,2000,14.9,4.9,8.2,14.9,1.2,6.3,Partially cloudy,
Toronto,4/17/00,4,17,2000,6.1,2.1,4.2,4,-4.6,-1.1,Rain, Overcast
Toronto,4/18/00,4,18,2000,6.1,3.1,4.5,3.2,-3.7,-0.4,Rain, Overcast
Toronto,4/19/00,4,19,2000,10.2,5,7.2,10.2,3.3,6,Partially cloudy,
Toronto,4/20/00,4,20,2000,8.1,6.1,7.1,7.7,0.8,2.9,Rain, Overcast
Toronto,4/21/00,4,21,2000,10,6.9,8.2,8.7,0.9,5.1,Rain, Overcast
Toronto,4/22/00,4,22,2000,9,5.1,6.6,6.7,2,4.5,Rain, Overcast
Toronto,4/23/00,4,23,2000,13,5.1,8.6,13,3.7,7.3,Rain, Partially cloudy
Toronto,4/24/00,4,24,2000,13.8,5.7,10.4,13.8,5.7,9.9,Clear,
Toronto,4/25/00,4,25,2000,11.9,6.9,8.6,11.9,3.1,6.7,Clear,
Toronto,4/26/00,4,26,2000,8.1,5,6.8,8.1,1.8,4.9,Clear,
Toronto,4/27/00,4,27,2000,10.1,6.1,7.7,10.1,3.8,5.9,Clear,
Toronto,4/28/00,4,28,2000,16.2,4.1,8.9,16.2,2.3,8.2,Clear,
Toronto,4/29/00,4,29,2000,19,5.1,11.3,19,4.6,11,Rain,
Toronto,4/30/00,4,30,2000,12.1,5,8.5,12.1,2,6.7,Clear,
Toronto,5/01/00,5,1,2000,11.2,6.2,8.5,11.2,4.6,7.6,Rain, Partially cloudy
Toronto,5/02/00,5,2,2000,16.3,8,10.7,16.3,4.8,9.8,Rain,
Toronto,5/03/00,5,3,2000,14.1,5,10.2,14.1,3.3,9.7,Rain,
Toronto,5/04/00,5,4,2000,16.2,7,11.1,16.2,7,10.9,Clear,
Toronto,5/05/00,5,5,2000,27.1,11.2,16,27,11.2,16,Partially cloudy,
Toronto,5/06/00,5,6,2000,20.3,12.2,15.9,20.3,12.2,16,Clear,
Toronto,5/07/00,5,7,2000,19.4,14.2,16.2,19.4,14.2,16.2,Partially cloudy,
Toronto,5/08/00,5,8,2000,22,14.2,17,22,14.2,17,Rain, Partially cloudy
Toronto,5/09/00,5,9,2000,25.9,15.1,18,25.9,15.1,18,Rain, Partially cloudy
Toronto,5/10/00,5,10,2000,17.4,11,13.9,17.4,11,13.9,Rain, Partially cloudy
Toronto,5/11/00,5,11,2000,16.1,7.1,11.6,16.1,6.1,11.4,Rain, Partially cloudy
Toronto,5/12/00,5,12,2000,16.1,9.1,11.6,16.1,5.1,10.8,Rain, Partially cloudy
Toronto,5/13/00,5,13,2000,21,12,15.7,21,12,15.6,Rain, Partially cloudy
Toronto,5/14/00,5,14,2000,12,8.1,10.6,12,5.1,9.8,Partially cloudy,
Toronto,5/15/00,5,15,2000,16,7,11,16,4.9,10.1,Partially cloudy,
Toronto,5/16/00,5,16,2000,15.2,6.1,9.8,15.2,4.1,9.5,Partially cloudy,
Toronto,5/17/00,5,17,2000,18.1,8.1,11.7,18.1,7.4,11.5,Rain, Partially cloudy
Toronto,5/18/00,5,18,2000,15.1,10.1,12.7,15.1,10.1,12.7,Rain, Partially cloudy
Toronto,5/19/00,5,19,2000,11.1,5.8,7.9,11.1,0.7,4.4,Partially cloudy,
Toronto,5/20/00,5,20,2000,10.1,7.1,8.6,10.1,3.6,6.2,Overcast,
Toronto,5/21/00,5,21,2000,13.1,6.1,9.7,13.1,6.1,9.5,Partially cloudy,
Toronto,5/22/00,5,22,2000,13.1,8.1,10.3,13.1,5.2,9.5,Partially cloudy,
Toronto,5/23/00,5,23,2000,12.4,9.1,10.3,12.4,5.6,9.4,Rain, Partially cloudy
Toronto,5/24/00,5,24,2000,23,9.2,13.3,23,8.2,13.2,Rain, Partially cloudy
Toronto,5/25/00,5,25,2000,16.3,10.1,13.5,16.3,10.1,13.5,Rain, Partially cloudy
Toronto,5/26/00,5,26,2000,18,8.9,13.1,18,6.5,12.6,Partially cloudy,
Toronto,5/27/00,5,27,2000,15.1,9,12.6,15.1,7.6,12.6,Clear,
Toronto,5/28/00,5,28,2000,13.1,10.1,12,13.1,10.1,12,Partially cloudy,
Toronto,5/29/00,5,29,2000,15.2,11,13.1,15.2,11,13.1,Clear,
Toronto,5/30/00,5,30,2000,19.1,10.9,13.9,19.1,10.9,13.9,Clear,
Toronto,5/31/00,5,31,2000,23,12.4,16.6,23,12.4,16.6,Rain, Partially cloudy
Toronto,6/01/00,6,1,2000,21,13,16.1,21,13,16.1,Partially cloudy,
Toronto,6/02/00,6,2,2000,24.6,12.2,16.4,24.6,12.2,16.4,Rain, Partially cloudy
Toronto,6/03/00,6,3,2000,15.4,10,13.3,15.4,10,13.3,Partially cloudy,
Toronto,6/04/00,6,4,2000,17.1,10.1,13.6,17.1,10.1,13.6,Clear,
Toronto,6/05/00,6,5,2000,13.1,10,11.5,13.1,10,11.5,Rain, Partially cloudy
Toronto,6/06/00,6,6,2000,14.1,11,11.9,14.1,11,11.9,Rain, Partially cloudy
Toronto,6/07/00,6,7,2000,25,10,16.2,25,10,16.2,Clear,
Toronto,6/08/00,6,8,2000,18.3,13.2,15.6,18.3,13.2,15.6,Partially cloudy,
Toronto,6/09/00,6,9,2000,19.2,13.1,15.1,19.2,13.1,15.1,Rain,
Toronto,6/10/00,6,10,2000,21.3,11.1,16.2,21.3,11.1,16.2,Clear,
Toronto,6/11/00,6,11,2000,21.2,10.7,15.2,21.2,10.7,15.2,Rain, Partially cloudy
Toronto,6/12/00,6,12,2000,15.1,11.1,13.6,15.1,11.1,13.6,Overcast,
Toronto,6/13/00,6,13,2000,15.5,12.1,13.8,15.5,12.1,13.8,Rain, Overcast
Toronto,6/14/00,6,14,2000,21.1,12.9,15.1,21.1,12.9,15.1,Rain, Partially cloudy
Toronto,6/15/00,6,15,2000,23.5,16.2,18.2,23.5,16.2,18.2,Rain, Partially cloudy
Toronto,6/16/00,6,16,2000,23.2,14.1,18.4,23.2,14.1,18.4,Clear,
Toronto,6/17/00,6,17,2000,22,16,20.2,22,16,20.2,Rain, Partially cloudy
Toronto,6/18/00,6,18,2000,16,11.1,13.4,16,11.1,13.4,Rain, Partially cloudy
Toronto,6/19/00,6,19,2000,19.2,11.8,15.6,19.2,11.8,15.6,Partially cloudy,
Toronto,6/20/00,6,20,2000,19.2,16.1,17.8,19.2,16.1,17.8,Rain,
Toronto,6/21/00,6,21,2000,27,17.1,20,27.5,17.1,20,Rain, Partially cloudy
Toronto,6/22/00,6,22,2000,22.7,15.2,18.8,22.7,15.2,18.8,Rain, Partially cloudy
Toronto,6/23/00,6,23,2000,20.2,13.1,17.2,20.2,13.1,17.2,Clear,
Toronto,6/24/00,6,24,2000,20.1,16.1,17.4,20.1,16.1,17.4,Rain, Partially cloudy
Toronto,6/25/00,6,25,2000,27.3,17.1,20.9,28.9,17.1,20.9,Rain, Partially cloudy
Toronto,6/26/00,6,26,2000,25.1,16,20.3,25.1,16,20.3,Clear,
Toronto,6/27/00,6,27,2000,26,15.1,19.8,26,15.1,19.8,Rain, Partially cloudy
Toronto,6/28/00,6,28,2000,20,14.1,17.5,20,14.1,17.5,Partially cloudy,
Toronto,6/29/00,6,29,2000,18.3,14.7,16.5,18.3,14.7,16.5,Rain, Partially cloudy
Toronto,6/30/00,6,30,2000,23.1,13,18.4,23.1,13,18.4,Rain, Partially cloudy
Toronto,7/01/00,7,1,2000,22.2,15.1,18.3,22.2,15.1,18.3,Clear,
Toronto,7/02/00,7,2,2000,22.3,15.2,18.8,22.3,15.2,18.8,Clear,
Toronto,7/03/00,7,3,2000,22.1,18.1,19.6,22.1,18.1,19.6,Rain, Partially cloudy
Toronto,7/04/00,7,4,2000,26,17.1,20.9,26,17.1,20.9,Rain, Partially cloudy
Toronto,7/05/00,7,5,2000,24,16,19.7,24,16,19.7,Clear,
Toronto,7/06/00,7,6,2000,20.3,16.9,18.4,20.3,16.9,18.4,Clear,
Toronto,7/07/00,7,7,2000,20.1,14.9,17.5,20.1,14.9,17.6,Clear,
Toronto,7/08/00,7,8,2000,22.2,14.6,18.4,22.2,14.6,18.4,Clear,
Toronto,7/09/00,7,9,2000,20.9,16.1,17.6,20.9,16.1,17.6,Rain, Partially cloudy
Toronto,7/10/00,7,10,2000,25,15.3,21.2,25,15.3,21.2,Rain,
Toronto,7/11/00,7,11,2000,25,17,20.9,25,17,20.9,Clear,
Toronto,7/12/00,7,12,2000,23.1,16,20.1,23.1,16,20.1,Clear,
Toronto,7/13/00,7,13,2000,22.2,16.1,19.7,22.2,16.1,19.7,Clear,
Toronto,7/14/00,7,14,2000,23,17.1,19.4,23,17.1,19.4,Rain, Partially cloudy
Toronto,7/15/00,7,15,2000,21.1,18,19.3,21.1,18,19.4,Partially cloudy,
Toronto,7/16/00,7,16,2000,21.7,17.8,19.6,21.7,17.8,19.6,Rain, Partially cloudy
Toronto,7/17/00,7,17,2000,24.2,18.1,20.6,24.2,18.1,20.6,Rain, Partially cloudy
Toronto,7/18/00,7,18,2000,21.1,14,18.2,21.1,14,18.2,Clear,
Toronto,7/19/00,7,19,2000,19.1,15,16.8,19.1,15,16.8,Partially cloudy,
Toronto,7/20/00,7,20,2000,22.1,12,17.7,22.1,12,17.7,Clear,
Toronto,7/21/00,7,21,2000,21.1,17,18.9,21.1,17,18.9,Rain, Partially cloudy
Toronto,7/22/00,7,22,2000,21,13,17.2,21,13,17.2,Partially cloudy,
Toronto,7/23/00,7,23,2000,21.1,13,17.2,21.1,13,17.2,Clear,
Toronto,7/24/00,7,24,2000,22.1,15,18.9,22.1,15,18.9,Partially cloudy,
Toronto,7/25/00,7,25,2000,22.2,17,20.1,22.2,17,20.1,Clear,
Toronto,7/26/00,7,26,2000,24.4,19,21.7,24.4,19,21.7,Clear,
Toronto,7/27/00,7,27,2000,23.1,20,21.5,23.1,20,21.5,Partially cloudy,
Toronto,7/28/00,7,28,2000,25,19.9,21.6,25,19.9,21.6,Partially cloudy,
Toronto,7/29/00,7,29,2000,24.1,21,22.1,24.1,21,22.1,Partially cloudy,
Toronto,7/30/00,7,30,2000,22.2,21,21.7,22.2,21,21.7,Rain, Partially cloudy
Toronto,7/31/00,7,31,2000,24.1,21.1,22.3,24.1,21.1,22.3,Rain, Partially cloudy
Toronto,8/01/00,8,1,2000,24.1,21,22.4,24.1,21,22.4,Rain, Partially cloudy
Toronto,8/02/00,8,2,2000,26.1,21,23,26.1,21,23,Rain, Partially cloudy
Toronto,8/03/00,8,3,2000,22.1,17,20.1,22.1,17,20.1,Partially cloudy,
Toronto,8/04/00,8,4,2000,23.1,14,18.9,23.1,14,18.9,Clear,
Toronto,8/05/00,8,5,2000,24.1,16,20.6,24.1,16,20.6,Clear,
Toronto,8/06/00,8,6,2000,21.1,18,19.9,21.1,18,19.9,Partially cloudy,
Toronto,8/07/00,8,7,2000,29,19.1,23.3,29.5,19.1,23.5,Rain, Partially cloudy
Toronto,8/08/00,8,8,2000,26.2,19,22.8,26.2,19,22.8,Rain, Partially cloudy
Toronto,8/09/00,8,9,2000,26.7,19.1,22,27.6,19.1,22,Rain, Partially cloudy
Toronto,8/10/00,8,10,2000,23.2,18,20.6,23.2,18,20.6,Clear,
Toronto,8/11/00,8,11,2000,25,18.4,21.4,25,18.4,21.4,Rain, Partially cloudy
Toronto,8/12/00,8,12,2000,23.1,16.7,20.2,23.1,16.7,20.2,Clear,
Toronto,8/13/00,8,13,2000,26.1,17.4,21.3,26.1,17.4,21.4,Clear,
Toronto,8/14/00,8,14,2000,26.1,19.1,22.4,26.1,19.1,22.4,Partially cloudy,
Toronto,8/15/00,8,15,2000,26.2,20,23.3,26.2,20,23.3,Clear,
Toronto,8/16/00,8,16,2000,24.2,17,20.1,24.2,17,20.1,Partially cloudy,
Toronto,8/17/00,8,17,2000,19.1,13,16.6,19.1,13,16.6,Clear,
Toronto,8/18/00,8,18,2000,20,13.6,17.1,20,13.6,17.1,Rain, Partially cloudy
Toronto,8/19/00,8,19,2000,21,13.1,16.3,21,13.1,16.3,Rain, Partially cloudy
Toronto,8/20/00,8,20,2000,18.1,10,14.3,18.1,10,14.3,Rain,
Toronto,8/21/00,8,21,2000,20.1,12,16.7,20.1,12,16.7,Clear,
Toronto,8/22/00,8,22,2000,21.1,15,18.7,21.1,15,18.7,Clear,
Toronto,8/23/00,8,23,2000,26,18,20.7,26,18,20.7,Rain, Partially cloudy
Toronto,8/24/00,8,24,2000,22.2,16,19.6,22.2,16,19.6,Clear,
Toronto,8/25/00,8,25,2000,24.1,15.1,20.2,24.1,15.1,20.2,Clear,
Toronto,8/26/00,8,26,2000,23.2,18,20.4,23.2,18,20.5,Clear,
Toronto,8/27/00,8,27,2000,21.1,19.1,20.3,21.1,19.1,20.3,Rain,
Toronto,8/28/00,8,28,2000,22.1,17.1,20.1,22.1,17.1,20.1,Clear,
Toronto,8/29/00,8,29,2000,25.1,18.6,22.4,25.1,18.6,22.4,Clear,
Toronto,8/30/00,8,30,2000,26,22,23.2,26,22,23.2,Clear,
Toronto,8/31/00,8,31,2000,27.1,21,23.5,29.4,21,23.8,Clear,
Toronto,9/01/00,9,1,2000,28.1,22,24.4,30.8,22,24.9,Clear,
Toronto,9/02/00,9,2,2000,24.9,19.9,21.3,24.9,19.9,21.3,Rain, Partially cloudy
Toronto,9/03/00,9,3,2000,22.1,19.2,20.8,22.1,19.2,20.8,Rain, Partially cloudy
Toronto,9/04/00,9,4,2000,22,14,17.7,22,14,17.7,Partially cloudy,
Toronto,9/05/00,9,5,2000,16.1,10,13.1,16.1,7.2,13,Clear,
Toronto,9/06/00,9,6,2000,18.1,12.9,15.8,18.1,12.9,15.9,Clear,
Toronto,9/07/00,9,7,2000,23.1,14,19,23.1,14,19,Clear,
Toronto,9/08/00,9,8,2000,23.1,19.1,21.3,23.1,19.1,21.3,Rain, Partially cloudy
Toronto,9/09/00,9,9,2000,22.1,17,19.9,22.1,17,19.9,Rain, Partially cloudy
Toronto,9/10/00,9,10,2000,23.1,19.2,21.4,23.1,19.2,21.4,Rain, Partially cloudy
Toronto,9/11/00,9,11,2000,25.2,21.1,23,25.2,21.1,23,Rain, Partially cloudy
Toronto,9/12/00,9,12,2000,24.1,16,21.9,24.1,16,21.9,Rain, Partially cloudy
Toronto,9/13/00,9,13,2000,21.1,12,17.1,21.1,12,17.1,Clear,
Toronto,9/14/00,9,14,2000,19,13,16.3,19,13,16.3,Rain, Partially cloudy
Toronto,9/15/00,9,15,2000,19.1,12,15,19.1,12,15,Rain, Partially cloudy
Toronto,9/16/00,9,16,2000,16,9,12.5,16,7,12.2,Partially cloudy,
Toronto,9/17/00,9,17,2000,22,12,15.3,22,12,15.4,Partially cloudy,
Toronto,9/18/00,9,18,2000,21.1,11.9,16,21.1,11.9,16,Clear,
Toronto,9/19/00,9,19,2000,23.1,14.1,17.9,23.1,14.1,17.9,Rain,
Toronto,9/20/00,9,20,2000,22.4,15.9,18.6,22.4,15.9,18.6,Clear,
Toronto,9/21/00,9,21,2000,16,8.1,12.7,16,5.4,12.5,Rain, Partially cloudy
Toronto,9/22/00,9,22,2000,13.2,6.1,10.3,13.2,4.4,9.9,Rain,
Toronto,9/23/00,9,23,2000,20.9,10.7,14.8,20.9,10.7,14.8,Rain, Partially cloudy
Toronto,9/24/00,9,24,2000,15.6,8,13,15.6,6,12.6,Rain, Partially cloudy
Toronto,9/25/00,9,25,2000,11.7,6,9.2,11.7,4.1,8.5,Clear,
Toronto,9/26/00,9,26,2000,14.2,7,10.5,14.2,5.6,10.2,Clear,
Toronto,9/27/00,9,27,2000,21.1,9.1,12.3,21.1,6.8,11.9,Partially cloudy,
Toronto,9/28/00,9,28,2000,9,3,6.2,6.1,-1.9,3.7,Clear,
Toronto,9/29/00,9,29,2000,15.1,4,9,15.1,1.7,8.8,Clear,
Toronto,9/30/00,9,30,2000,16.3,7.1,11.6,16.3,7.1,11.6,Clear,
Toronto,10/01/00,10,1,2000,19.9,10.1,14,19.9,10.1,14,Clear,
Toronto,10/02/00,10,2,2000,17.2,11.2,14.8,17.2,11.2,14.8,Clear,
Toronto,10/03/00,10,3,2000,21,13.9,16.3,21,13.9,16.3,Clear,
Toronto,10/04/00,10,4,2000,15.1,12,13.5,15.1,12,13.5,Rain, Partially cloudy
Toronto,10/05/00,10,5,2000,12,7.1,10,12,6.8,9.9,Rain, Partially cloudy
Toronto,10/06/00,10,6,2000,12.1,8.2,9.9,12.1,5.5,8.6,Rain, Partially cloudy
Toronto,10/07/00,10,7,2000,9.6,4,7.1,6,0.9,3.6,Rain, Partially cloudy
Toronto,10/08/00,10,8,2000,8,2.1,4.9,4.8,-1.2,1.6,Rain, Partially cloudy
Toronto,10/09/00,10,9,2000,8,2,5.1,6.8,-1.4,2.9,Partially cloudy,
Toronto,10/10/00,10,10,2000,16,3,8.6,16,0.5,7.7,Partially cloudy,
Toronto,10/11/00,10,11,2000,20,8.6,13.3,20,6,12.6,Clear,
